Contract,Event,4/22/2018,4/23/2018,4/24/2018,4/25/2018,4/26/2018,4/27/2018,4/28/2018,4/29/2018,4/30/2018,5/1/2018,5/2/2018,5/3/2018,5/4/2018,5/5/2018,5/6/2018,5/7/2018,5/8/2018,5/9/2018,5/10/2018,5/11/2018,5/12/2018,5/13/2018,5/14/2018,5/15/2018,5/16/2018,5/17/2018,5/18/2018,5/19/2018,5/20/2018,5/21/2018,5/22/2018
Crypto Kitties Core,Pregnant,350,797,868,856,1048,1917,4821,8151,595,859,752,603,2073,2467,1919,1457,2146,1232,1085,1281,1150,840,658,849,1949,3655,2014,2654,1297,1238,382
,Transfer,1280,2472,2574,2491,3186,3490,2851,2867,2089,2458,3372,2387,1910,2894,3238,4299,3298,1749,1693,1794,2208,1719,1611,1813,2063,1513,1626,1925,1746,1510,579
,Birth,36,92,94,94,94,95,87,92,93,88,95,91,94,90,96,93,95,94,92,109,96,95,94,124,97,154,145,110,95,94,44
,Approval,6,1,2,1,3,16,4,4,8,6,4,3,5,4,4,2,5,2,6,9,3,27,5,5,3,1,4,1,1,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
internalFunctionCalls,breedWithAuto,263,701,760,779,976,1984,5664,10651,484,754,688,519,2218,2479,1827,1335,2056,1189,1011,1240,1087,767,753,761,2066,4004,1976,2596,1205,1170,360
,createSaleAuction,513,900,999,790,1280,1317,961,1100,653,1049,1194,702,549,1097,1266,1673,1374,507,382,549,743,505,412,365,747,380,424,435,492,389,195
,cancelAuction,203,253,359,339,617,594,409,383,185,254,663,320,168,301,444,958,347,165,180,148,301,153,155,122,109,159,113,169,154,160,45
,createSiringAuction,165,368,316,245,237,341,373,366,221,236,248,278,165,352,424,359,407,172,139,169,215,155,89,130,122,147,108,153,202,109,31
,bid,216,697,601,615,667,727,628,587,623,482,562,442,621,499,589,741,661,481,719,520,598,532,427,610,707,449,561,738,582,523,149
,transfer,742,3274,687,509,3275,269,257,251,203,215,520,413,208,407,345,374,288,196,91,165,135,155,350,354,168,114,205,222,135,133,67
,createGen0Auction,36,92,94,94,94,95,87,92,93,88,95,91,92,90,96,93,95,94,92,95,96,95,94,91,93,96,96,96,95,94,44
,bidOnSiringAuction,108,144,118,119,116,217,216,140,132,123,87,125,141,151,141,149,152,108,123,137,181,119,49,132,124,96,80,143,129,103,34
